series_id,account_id,result
649122,117311875,2
649122,138880576,0
649122,153125655,0
649122,397240228,2
649122,412413765,2
649122,412758827,0
650790,107803494,0
650790,129683931,2
650790,129958758,0
650790,148215639,0
650790,164530809,2
650790,183378746,0
650790,189398048,2
650790,191458152,2
650790,198161112,2
650790,207829314,0
650801,107081378,2
650801,111114687,0
650801,114645455,2
650801,118134220,0
650801,137129583,2
650801,157475523,0
650801,173978074,0
650801,223344914,2
650801,277141004,2
650801,898754153,0
650821,54580962,2
650821,72312627,2
650821,73562326,2
650821,77490514,2
650821,84772440,0
650821,87278757,0
650821,89117038,0
650821,111620041,0
650821,121769650,0
650821,152962063,2
650855,34505203,2
650855,82262664,2
650855,90125566,0
650855,93618577,0
650855,101356886,2
650855,105248644,2
650855,113995822,2
650855,167976729,0
650855,183719386,0
650855,401792574,0
650914,81475303,2
650914,86726887,0
650914,98172857,0
650914,108452107,0
650914,110583422,2
650914,138880576,2
650914,153125655,2
650914,169025618,0
650914,221666230,0
650914,412758827,2
651039,10366616,0
651039,86698277,0
651039,94786276,0
651039,96803083,2
651039,100058342,0
651039,103735745,0
651039,127565532,2
651039,127617979,2
651039,140288368,2
651039,196878136,2
651069,12231202,0
651069,18180970,0
651069,41231571,0
651069,86953414,2
651069,103910993,2
651069,112426916,2
651069,113619848,2
651069,122049498,0
651069,151069590,0
651069,158606677,2
651134,54151884,2
651134,75750590,2
651134,86700461,0
651134,92601861,0
651134,172424257,2
651134,208181197,2
651134,220621418,2
651134,257698084,0
651134,314584168,0
651134,412753955,0
651174,25907144,0
651174,26771994,0
651174,85367644,2
651174,86745912,0
651174,124801257,0
651174,151643048,2
651174,154715080,0
651174,219225327,2
651174,230580807,2
651174,1071332616,2
651518,108221389,2
651518,139031324,0
651518,158847773,0
651518,165178538,2
651518,192819341,0
651518,227657377,0
651518,250547284,2
651518,293950128,0
651518,373520478,2
651518,835676420,2
651528,107081378,0
651528,114645455,0
651528,129683931,2
651528,137129583,0
651528,139937922,0
651528,164530809,2
651528,189398048,2
651528,191458152,2
651528,198161112,2
651528,277141004,0
651901,16497807,0
651901,27178898,2
651901,91730177,0
651901,92949094,2
651901,97590558,0
651901,107855479,2
651901,115464954,2
651901,116934015,0
651901,190826739,0
651901,196490133,2
652012,38628747,0
652012,59752811,2
652012,91741256,2
652012,97658618,0
652012,117311875,2
652012,126212866,0
652012,145550466,0
652012,238239590,0
652012,397240228,2
652012,412413765,2
652050,25907144,0
652050,26771994,0
652050,81475303,2
652050,86745912,0
652050,110583422,2
652050,124801257,0
652050,138880576,2
652050,153125655,2
652050,154715080,0
652050,412758827,2
652115,129683931,2
652115,134276083,0
652115,137193239,0
652115,138543123,0
652115,143693439,0
652115,164530809,2
652115,185908355,0
652115,189398048,2
652115,191458152,2
652115,198161112,2
652139,88470,2
652139,103296177,2
652139,147767183,0
652139,150961567,0
652139,197849259,2
652139,199222238,2
652139,224302441,2
652139,249835593,0
652139,315272623,0
652139,320252024,0
652349,92253768,2
652349,93159453,2
652349,98961223,0
652349,114585639,0
652349,169405715,0
652349,172739956,2
652349,277196834,2
652349,361688848,0
652349,874542740,2
652349,1035128290,0
652463,136178375,2
652463,139031324,0
652463,141010367,2
652463,150588364,2
652463,158847773,0
652463,192819341,0
652463,206379758,2
652463,227657377,0
652463,262367336,2
652463,293950128,0
652474,108221389,0
652474,144528954,2
652474,162926943,0
652474,165178538,0
652474,180286184,2
652474,250547284,0
652474,253962772,2
652474,255219872,0
652474,257945712,2
652474,376376587,2
652565,12231202,0
652565,18180970,0
652565,32128719,2
652565,41231571,0
652565,98885811,2
652565,100483784,2
652565,106755427,2
652565,118078153,2
652565,122049498,0
652565,151069590,0
652720,94296097,0
652720,94738847,0
652720,106863163,0
652720,107081378,2
652720,114645455,2
652720,119535307,0
652720,136177710,0
652720,137129583,2
652720,223344914,2
652720,277141004,2
652733,111114687,0
652733,118134220,0
652733,147767183,2
652733,150961567,2
652733,157475523,0
652733,173978074,0
652733,249835593,2
652733,315272623,2
652733,320252024,2
652733,898754153,0
652763,10366616,0
652763,84772440,2
652763,86698277,0
652763,87278757,2
652763,89117038,2
652763,94786276,0
652763,100058342,0
652763,103735745,0
652763,111620041,2
652763,121769650,2
652833,50828662,2
652833,84429681,2
652833,86726887,0
652833,86822085,2
652833,98172857,0
652833,108452107,0
652833,110448679,2
652833,126238768,2
652833,169025618,0
652833,221666230,0
652872,98961223,0
652872,114585639,0
652872,169405715,0
652872,361688848,0
652872,1035128290,0
652872,1138108910,2
652872,1138610285,2
652872,1138635322,2
652872,1261414529,2
652872,1262036558,2
652972,27178898,2
652972,92949094,2
652972,96803083,0
652972,107855479,2
652972,115464954,2
652972,127565532,0
652972,127617979,0
652972,140288368,0
652972,196490133,2
652972,196878136,0
653000,56939869,2
653000,86700461,0
653000,88826062,2
653000,92601861,0
653000,116876282,2
653000,117015167,2
653000,245373129,2
653000,257698084,0
653000,314584168,0
653000,412753955,0
653067,12231202,0
653067,18180970,0
653067,41231571,0
653067,48823667,2
653067,50580004,2
653067,58513047,2
653067,100317750,2
653067,122049498,0
653067,151069590,0
653067,165671428,2
653068,14067214,2
653068,38628747,0
653068,94364925,2
653068,97658618,0
653068,115141430,2
653068,126212866,0
653068,145550466,0
653068,192120253,2
653068,236858633,2
653068,238239590,0
653079,59752811,2
653079,85367644,0
